Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
1917,2019,Reino Unido,"7,7",50.001,Sam Mendes,"George MacKay, Dean-Charles Chapman, Mark Strong, Richard Madden, Benedict Cumberbatch, Colin Firth, Andrew Scott, Daniel Mays",https://www.filmaffinity.com/es/film145446.html
El padre,2020,Reino Unido,"7,7",17.085,Florian Zeller,"Anthony Hopkins, Olivia Colman, Imogen Poots, Rufus Sewell, Olivia Williams, Mark Gatiss, Evie Wray, Ayesha Dharker",https://www.filmaffinity.com/es/film701512.html
Relatos salvajes,2014,Argentina,"7,7",67.858,Damián Szifrón,"Ricardo Darín, Darío Grandinetti, Leonardo Sbaraglia, Érica Rivas, Oscar Martínez, Julieta Zylberberg, Rita Cortese, María Onetto",https://www.filmaffinity.com/es/film809035.html
La habitación,2015,Irlanda,"7,7",46.128,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Joan Allen, William H. Macy, Megan Park, Amanda Brugel, Sean Bridgers, Joe Pingue",https://www.filmaffinity.com/es/film741318.html
As bestas,2022,España,"7,6",31.590,Rodrigo Sorogoyen,"Marina Foïs, Denis Ménochet, Luis Zahera, Diego Anido, Marie Colomb, Luisa Merelas, José Manuel Fernández y Blanco, Xavier Estévez",https://www.filmaffinity.com/es/film227540.html
La doncella (The Handmaiden),2016,Corea del Sur,"7,6",16.819,Park Chan-wook,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Moon So-ri, Kim Hae-sook, Lee Yong-nyeo, Lee Dong-hwi, Yoo Min-chae",https://www.filmaffinity.com/es/film948449.html
Oppenheimer,2023,Estados Unidos,"7,6",25.552,Christopher Nolan,"Cillian Murphy, Emily Blunt, Robert Downey Jr., Matt Damon, Josh Hartnett, Florence Pugh, Jason Clarke, Alden Ehrenreich",https://www.filmaffinity.com/es/film294474.html
Spider-Man: Un nuevo universo,2018,Estados Unidos,"7,6",29.349,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Lauren Vélez",https://www.filmaffinity.com/es/film773389.html
Tres anuncios en las afueras,2017,Reino Unido,"7,6",52.346,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, Peter Dinklage, Caleb Landry Jones, Lucas Hedges, Abbie Cornish",https://www.filmaffinity.com/es/film652266.html
Prisioneros,2013,Estados Unidos,"7,6",61.375,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, David Dastmalchian",https://www.filmaffinity.com/es/film276566.html
Wolfwalkers,2020,Irlanda,"7,6",5.051,"Tomm Moore, Ross Stewart","Honor Kneafsey, Eva Whittaker, Sean Bean, Maria Doyle Kennedy, Simon McBurney, Tommy Tiernan",https://www.filmaffinity.com/es/film764468.html
Klaus,2019,España,"7,6",17.898,Sergio Pablos,"Quim Gutiérrez, Luis Tosar, Belén Cuesta",https://www.filmaffinity.com/es/film148968.html
Green Book,2018,Estados Unidos,"7,6",50.455,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Iqbal Theba, Linda Cardellini, Ricky Muse, David Kallaway, Montrel Miller, Harrison Stone",https://www.filmaffinity.com/es/film710220.html
El cuento de la princesa Kaguya,2013,Japón,"7,6",9.205,Isao Takahata,,https://www.filmaffinity.com/es/film931294.html
El lobo de Wall Street,2013,Estados Unidos,"7,6",103.267,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler, Cristin Milioti, Rob Reiner, Matthew McConaughey, P.J. Byrne",https://www.filmaffinity.com/es/film828416.html
La canción del mar,2014,Irlanda,"7,6",10.135,Tomm Moore,,https://www.filmaffinity.com/es/film696917.html
Monstruo,2023,Japón,"7,5",1.334,Hirokazu Koreeda,"Soya Kurokawa, Hiiragi Hinata, Sakura Ando, Eita, Mitsuki Takahata, Akihiro Kakuta, Shido Nakamura, Yûko Tanaka",https://www.filmaffinity.com/es/film700716.html
An Elephant Sitting Still,2018,China,"7,5",1.733,Hu Bo,"Zhang Yu, Peng Yuchang, Wang Uvin, Li Congxi, He Miaomiao, Yanmanzi Zhu, Zhao Yanguozhang, Dong Xiangrong",https://www.filmaffinity.com/es/film918355.html
Vengadores: Infinity War,2018,Estados Unidos,"7,5",44.468,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Benedict Cumberbatch, Chris Evans, Mark Ruffalo, Scarlett Johansson, Chris Pratt, Tom Holland",https://www.filmaffinity.com/es/film827414.html
Mandarinas,2013,Estonia,"7,5",10.146,Zaza Urushadze,"Lembit Ulfsak, Giorgi Nakashidze, Misha Meskhi, Elmo Nüganen, Raivo Trass",https://www.filmaffinity.com/es/film894315.html
Close,2022,Bélgica,"7,5",6.480,Lukas Dhont,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker, Igor van Dessel, Kevin Janssens, Marc Weiss",https://www.filmaffinity.com/es/film297297.html
Dallas Buyers Club,2013,Estados Unidos,"7,5",56.075,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn, Dallas Roberts, Denis O'Hare, Griffin Dunne, Kevin Rankin",https://www.filmaffinity.com/es/film472295.html
La ciudad de las estrellas (La La Land),2016,Estados Unidos,"7,5",59.140,Damien Chazelle,"Emma Stone, Ryan Gosling, John Legend, Rosemarie Dewitt, J.K. Simmons, Finn Wittrock, Sonoya Mizuno, Jessica Rothe",https://www.filmaffinity.com/es/film689956.html
Her,2013,Estados Unidos,"7,5",78.308,Spike Jonze,"Joaquin Phoenix, Amy Adams, Rooney Mara, Olivia Wilde, Chris Pratt, Portia Doubleday, Matt Letscher, Brian Johnson",https://www.filmaffinity.com/es/film889720.html
"Hasta siempre, hijo mío",2019,China,"7,5",2.568,Wang Xiaoshuai,"Ai Liya, Du Jiang, Zhao Yanguozhang, Li Jingjing, Qi Xi, Xu Cheng, Wang Jingchun, Roy Wang, Yong Mei",https://www.filmaffinity.com/es/film916238.html
La gran belleza,2013,Italia,"7,4",37.452,Paolo Sorrentino,"Toni Servillo, Carlo Verdone, Sabrina Ferilli, Serena Grandi, Galatea Ranzi, Isabella Ferrari, Giulia Di Quilio, Luca Marinelli",https://www.filmaffinity.com/es/film202506.html
Captain Fantastic,2016,Estados Unidos,"7,4",45.088,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Kathryn Hahn",https://www.filmaffinity.com/es/film552091.html
Mommy,2014,Canadá,"7,4",16.934,Xavier Dolan,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément, Alexandre Goyette, Patrick Huard",https://www.filmaffinity.com/es/film656945.html
Nebraska,2013,Estados Unidos,"7,4",31.323,Alexander Payne,"Bruce Dern, Will Forte, Stacy Keach, Bob Odenkirk, June Squibb, Missy Doty, Kevin Kunkel, Angela McEwan, Melinda Simonsen",https://www.filmaffinity.com/es/film888596.html
Te estoy amando locamente,2023,España,"7,4",1.802,Alejandro Marin,"Ana Wagener, Omar Banana, Alba Flores, Jesús Carroza, Carmen Orellana, Lola Buzón, Mari Paz Sayago, La Dani",https://www.filmaffinity.com/es/film663650.html
Un asunto de familia,2018,Japón,"7,4",12.162,Hirokazu Koreeda,"Kirin Kiki, Sôsuke Ikematsu, Lily Franky, Moemi Katayama, Sakura Ando, Mayu Matsuoka, Jyo Kairi, Miyu Sasaki, Yûki Yamada",https://www.filmaffinity.com/es/film213201.html
Retrato de una mujer en llamas,2019,Francia,"7,4",13.440,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras, Cécile Morel, Armande Boulanger, Michèle Clément",https://www.filmaffinity.com/es/film218131.html
La vida de Adèle,2013,Francia,"7,4",39.393,Abdellatif Kechiche,"Adèle Exarchopoulos, Léa Seydoux, Salim Kechiouche, Mona Walravens, Jeremie Laheurte, Alma Jodorowsky, Aurélien Recoing, Catherine Salée",https://www.filmaffinity.com/es/film361182.html
1985,2018,Estados Unidos,"7,4",1.483,Yen Tan,"Cory Michael Smith, Jamie Chung, Virginia Madsen, Michael Chiklis, Bill Heck, Ryan Piers Williams, David Opegbemi, Bryan Massey",https://www.filmaffinity.com/es/film478099.html
Loving Vincent,2017,Polonia,"7,4",9.340,"DK Welchman, Hugh Welchman","Douglas Booth, Helen McCrory, Saoirse Ronan, Aidan Turner, Eleanor Tomlinson, Chris O'Dowd, Jerome Flynn",https://www.filmaffinity.com/es/film302768.html
"Argentina, 1985",2022,Argentina,"7,4",17.127,Santiago Mitre,"Ricardo Darín, Peter Lanzani, Alejandra Flechner, Carlos Portaluppi, Norman Briski, Héctor Díaz, Alejo García Pintos, Claudio Da Passano",https://www.filmaffinity.com/es/film117089.html
Soul,2020,Estados Unidos,"7,4",32.307,"Pete Docter, Kemp Powers","Jamie Foxx, Tina Fey",https://www.filmaffinity.com/es/film420392.html
Las ocho montañas,2022,Italia,"7,4",3.279,"Felix Van Groeningen, Charlotte Vandermeersch","Luca Marinelli, Alessandro Borghi, Filippo Timi, Elena Lietti, Surakshya Panta, Elisabetta Mazzullo, Lupo Barbiero, Cristiano Sassella",https://www.filmaffinity.com/es/film427211.html
El chico y la garza,2023,Japón,"7,4",1.104,Hayao Miyazaki,,https://www.filmaffinity.com/es/film489419.html
Evangelion: 3.0+1.01 Thrice Upon a Time,2021,Japón,"7,4",2.134,"Hideaki Anno, Kazuya Tsurumaki, Masayuki",,https://www.filmaffinity.com/es/film517029.html
"Quo Vadis, Aida?",2020,Bosnia y Herzegovina,"7,4",4.249,Jasmila Zbanic,"Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic, Boris Isakovic, Johan Heldenbergh, Raymond Thiry, Emir Hadzihafizbegovic",https://www.filmaffinity.com/es/film130859.html
El pan de la guerra (The Breadwinner),2017,Irlanda,"7,4",5.055,Nora Twomey,,https://www.filmaffinity.com/es/film849663.html
Los asesinos de la luna,2023,Estados Unidos,"7,4",6.025,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons, Pat Healy, Louis Cancelmi, Brendan Fraser, John Lithgow",https://www.filmaffinity.com/es/film970587.html
La llegada,2016,Estados Unidos,"7,4",66.486,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Nathaly Thibault, Pat Kiely, Joe Cobden",https://www.filmaffinity.com/es/film420650.html
Sueño de invierno (Winter Sleep),2014,Turquía,"7,3",4.416,Nuri Bilge Ceylan,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Mehmet Ali Nuroglu, Nadir Saribacak, Ayberk Pekcan, Nejat Isler, Serhat Mustafa Kiliç",https://www.filmaffinity.com/es/film540382.html
Guardianes de la noche: Tren infinito,2020,Japón,"7,3",3.071,Haruo Sotozaki,,https://www.filmaffinity.com/es/film164016.html
12 años de esclavitud,2013,Estados Unidos,"7,3",63.905,Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Paul Dano, Paul Giamatti, Benedict Cumberbatch, Sarah Paulson, Brad Pitt",https://www.filmaffinity.com/es/film554692.html
The Quiet Girl,2022,Irlanda,"7,3",4.504,Colm Bairéad,"Catherine Clinch, Carrie Crowley, Andrew Bennett, Michael Patric, Kate Nic Chonaonaigh, Carolyn Bracken, Joan Sheehy, Tara Faughnan",https://www.filmaffinity.com/es/film786159.html
La vida de Calabacín,2016,Suiza,"7,3",6.305,Claude Barras,,https://www.filmaffinity.com/es/film800641.html
Vengadores: Endgame,2019,Estados Unidos,"7,3",39.356,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd",https://www.filmaffinity.com/es/film993884.html
El abrazo de la serpiente,2015,Colombia,"7,3",6.062,Ciro Guerra,"Nilbio Torres, Antonio Bolívar, Jan Bijvoet, Brionne Davis, Yauenkü Migue, Luigi Sciamanna, Nicolás Cancino",https://www.filmaffinity.com/es/film917148.html
Isla de perros,2018,Estados Unidos,"7,3",19.789,Wes Anderson,"Bryan Cranston, Edward Norton, Bill Murray, Jeff Goldblum, Koyu Rankin, Liev Schreiber, Bob Balaban",https://www.filmaffinity.com/es/film763335.html
Perdida,2014,Estados Unidos,"7,3",67.332,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Kim Dickens, Patrick Fugit, Carrie Coon, Missi Pyle",https://www.filmaffinity.com/es/film478104.html
Omar,2013,Palestina,"7,3",2.990,Hany Abu-Assad,"Adam Bakri, Leem Lubany, Eyad Hourani, Samer Bisharat, Waleed Zuaiter",https://www.filmaffinity.com/es/film791836.html
Un día más con vida,2018,España,"7,3",4.281,"Raúl de la Fuente, Damian Nenow","Miroslaw Haniszewski, Vergil J. Smith, Tomasz Zietek, Olga Boladz, Rafal Fudalej, Pawel Paczesny, Jakub Kamienski",https://www.filmaffinity.com/es/film588749.html
"Batman: El regreso del Caballero Oscuro, Parte 2",2013,Estados Unidos,"7,3",9.027,Jay Oliva,,https://www.filmaffinity.com/es/film596963.html
Beasts of No Nation,2015,Estados Unidos,"7,3",14.425,Cary Joji Fukunaga,"Abraham Attah, Idris Elba, Richard Pepple, Opeyemi Fagbohungbe, Ama K. Abebrese, Grace Nortey, David Dontoh",https://www.filmaffinity.com/es/film836578.html
Cerrar los ojos,2023,España,"7,3",2.075,Víctor Erice,"Manolo Solo, José Coronado, Ana Torrent, Soledad Villamil, Helena Miquel, Mario Pardo, Josep Maria Pou, María León",https://www.filmaffinity.com/es/film792411.html
Suzume,2022,Japón,"7,3",2.438,Makoto Shinkai,,https://www.filmaffinity.com/es/film346943.html
Aftersun,2022,Reino Unido,"7,3",8.404,Charlotte Wells,"Paul Mescal, Francesca Corio, Celia Rowlson-Hall, Kayleigh Coleman, Sally Messham, Harry Perdios, Ethan Smith",https://www.filmaffinity.com/es/film801174.html
Spotlight,2015,Estados Unidos,"7,3",48.076,Tom McCarthy,"Michael Keaton, Mark Ruffalo, Rachel McAdams, Liev Schreiber, John Slattery, Stanley Tucci, Brian d'Arcy James, Gene Amoroso",https://www.filmaffinity.com/es/film384270.html
Los odiosos ocho,2015,Estados Unidos,"7,3",64.334,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Tim Roth, Demian Bichir, Michael Madsen, Bruce Dern",https://www.filmaffinity.com/es/film647932.html
La trinchera infinita,2019,España,"7,3",22.925,"Jon Garaño, Aitor Arregi, José Mari Goenaga","Antonio de la Torre, Belén Cuesta, Vicente Vergara, José Manuel Poga, Emilio Palacios, José María del Castillo, Carlos Bernardino, Adrián Fernández",https://www.filmaffinity.com/es/film565820.html
El Reino,2018,España,"7,3",30.319,Rodrigo Sorogoyen,"Antonio de la Torre, Josep Maria Pou, Nacho Fresneda, Ana Wagener, Mónica López, Bárbara Lennie, Luis Zahera, Francisco Reyes",https://www.filmaffinity.com/es/film140455.html
En este rincón del mundo,2016,Japón,"7,3",1.826,Sunao Katabuchi,,https://www.filmaffinity.com/es/film481109.html
Lion,2016,Australia,"7,3",21.642,Garth Davis,"Dev Patel, Sunny Pawar, Nicole Kidman, Rooney Mara, David Wenham, Nawazuddin Siddique, Tannishtha Chatterjee, Deepti Naval",https://www.filmaffinity.com/es/film812212.html
Antes del anochecer,2013,Estados Unidos,"7,3",26.977,Richard Linklater,"Julie Delpy, Ethan Hawke, Seamus Davey-Fitzpatrick, Jennifer Prior, Charlotte Prior, Xenia Kalogeropoulou, Walter Lassally, Ariane Labed",https://www.filmaffinity.com/es/film543363.html
Call Me by Your Name,2017,Italia,"7,3",28.514,Luca Guadagnino,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire Du Bois, Elena Bucci, Marco Sgrosso",https://www.filmaffinity.com/es/film850990.html
Nightcrawler,2014,Estados Unidos,"7,3",44.413,Dan Gilroy,"Jake Gyllenhaal, René Russo, Riz Ahmed, Bill Paxton, Kevin Rahm, Ann Cusack, Eric Lange, Anne McDaniels",https://www.filmaffinity.com/es/film779937.html
Custodia compartida,2017,Francia,"7,2",5.987,Xavier Legrand,"Denis Ménochet, Léa Drucker, Thomas Gioria, Mathilde Auneveux, Saadia Bentaïeb, Jean-Marie Winling, Martine Vandeville, Florence Janas, Jenny Bellay",https://www.filmaffinity.com/es/film586107.html
Pride (Orgullo),2014,Reino Unido,"7,2",15.088,Matthew Warchus,"Ben Schnetzer, Monica Dolan, George MacKay, Bill Nighy, Andrew Scott, Imelda Staunton, Dominic West, Paddy Considine",https://www.filmaffinity.com/es/film412425.html
Boyhood (Momentos de una vida),2014,Estados Unidos,"7,2",49.190,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Jordan Howard, Tamara Jolaine, Zoe Graham, Tyler Strother",https://www.filmaffinity.com/es/film175667.html
Bohemian Rhapsody,2018,Reino Unido,"7,2",50.586,Bryan Singer,"Rami Malek, Joseph Mazzello, Ben Hardy, Gwilym Lee, Lucy Boynton, Aidan Gillen, Tom Hollander, Mike Myers",https://www.filmaffinity.com/es/film486640.html
El renacido,2015,Estados Unidos,"7,2",71.709,Alejandro González Iñárritu,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson, Kristoffer Joner, Joshua Burge",https://www.filmaffinity.com/es/film117532.html
El Gran Hotel Budapest,2014,Estados Unidos,"7,2",72.478,Wes Anderson,"Ralph Fiennes, Tony Revolori, Saoirse Ronan, Edward Norton, Jeff Goldblum, Jude Law, Willem Dafoe, F. Murray Abraham",https://www.filmaffinity.com/es/film817968.html
Josep,2020,Francia,"7,2",2.261,Aurel,,https://www.filmaffinity.com/es/film912441.html
La cumbre de los dioses,2021,Francia,"7,2",3.071,Patrick Imbert,,https://www.filmaffinity.com/es/film105498.html
Corpus Christi,2019,Polonia,"7,2",5.961,Jan Komasa,"Bartosz Bielenia, Eliza Rycembel, Aleksandra Konieczna, Tomasz Zietek, Leszek Lichota, Lukasz Simlat, Barbara Kurzaj, Zdzislaw Wardejn",https://www.filmaffinity.com/es/film115913.html
"De tal padre, tal hijo",2013,Japón,"7,2",7.293,Hirokazu Koreeda,"Masaharu Fukuyama, Yoko Maki, Jun Kunimura, Machiko Ono, Lily Franky",https://www.filmaffinity.com/es/film762076.html
El irlandés,2019,Estados Unidos,"7,2",37.345,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Stephen Graham, Harvey Keitel, Bobby Cannavale, Anna Paquin, Ray Romano",https://www.filmaffinity.com/es/film325196.html
Berserk. La Edad de Oro III: El advenimiento,2013,Japón,"7,2",2.759,Toshiyuki Kubooka,,https://www.filmaffinity.com/es/film192635.html
20.000 especies de abejas,2023,España,"7,2",3.748,Estibaliz Urresola Solaguren,"Sofía Otero, Patricia López Arnaiz, Ane Gabaraín, Itziar Lazkano, Martxelo Rubio, Sara Cózar, Miguel Garcés, Unax Hayden, Andere Garabieta",https://www.filmaffinity.com/es/film514090.html
Historia de un matrimonio,2019,Estados Unidos,"7,2",32.659,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern, Azhy Robertson, Alan Alda, Julie Hagerty, Merritt Wever, Mary Hollis Inboden",https://www.filmaffinity.com/es/film845261.html
Dune,2021,Estados Unidos,"7,2",39.532,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Josh Brolin, Jason Momoa, Stellan Skarsgård, Zendaya, Javier Bardem",https://www.filmaffinity.com/es/film847055.html
The Imitation Game (Descifrando Enigma),2014,Reino Unido,"7,2",59.040,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Mark Strong, Charles Dance, Matthew Goode, Matthew Beard, Allen Leech, Tuppence Middleton",https://www.filmaffinity.com/es/film617730.html
El caftán azul,2022,Marruecos,"7,2",1.079,Maryam Touzani,"Saleh Bakri, Lubna Azabal, Ayoub Messioui",https://www.filmaffinity.com/es/film999656.html
Las golondrinas de Kabul,2019,Francia,"7,2",1.266,"Zabou Breitman, Eléa Gobbé-Mévellec",,https://www.filmaffinity.com/es/film374848.html
Maixabel,2021,España,"7,2",14.774,Icíar Bollaín,"Blanca Portillo, Luis Tosar, Urko Olazabal, María Cerezuela, Arantxa Aranguren, Mikel Bustamante, Bruno Sevilla, Jone Laspiur, David Blanka",https://www.filmaffinity.com/es/film375190.html
Conducta,2014,Cuba,"7,2",1.756,Ernesto Daranas,"Armando Valdés Freyre, Alina Rodríguez, Silvia Águila, Yuliet Cruz, Amaly Junco, Armando Miguel Gómez, Miriel Cejas, Idalmis Garcia",https://www.filmaffinity.com/es/film910901.html
Trece vidas,2022,Reino Unido,"7,2",10.124,Ron Howard,"Colin Farrell, Viggo Mortensen, Joel Edgerton, Tom Bateman, Lewis Fitzgerald, Vithaya Pansringarm, Paul Gleeson, Teeradon Supapunpinyo",https://www.filmaffinity.com/es/film679858.html
Puñales por la espalda,2019,Estados Unidos,"7,2",46.521,Rian Johnson,"Daniel Craig, Ana de Armas, Chris Evans, Jamie Lee Curtis, Toni Collette, Don Johnson, Michael Shannon, Christopher Plummer",https://www.filmaffinity.com/es/film599723.html
A Taxi Driver: Los héroes de Gwangju,2017,Corea del Sur,"7,2",1.182,Jang Hoon,"Song Kang-ho, Thomas Kretschmann, Yoo Hae-jin, Ryu Jun-yeol, Park Hyeok-kwon, Choi Gwi-hwa, Jeong Jin-yeong, Cha Soon-bae",https://www.filmaffinity.com/es/film333973.html
Frantz,2016,Francia,"7,2",6.638,François Ozon,"Paula Beer, Pierre Niney, Johann von Bülow, Marie Gruber, Ernst Stötzner, Cyrielle Clair, Alice de Lencquesaing, Anton von Lucke",https://www.filmaffinity.com/es/film791041.html
El viento se levanta,2013,Japón,"7,2",15.055,Hayao Miyazaki,,https://www.filmaffinity.com/es/film835261.html
Sing Street,2016,Irlanda,"7,2",16.358,John Carney,"Ferdia Walsh-Peelo, Lucy Boynton, Jack Reynor, Aidan Gillen, Kelly Thornton, Maria Doyle Kennedy, Don Wycherley, Kyle Bradley",https://www.filmaffinity.com/es/film165747.html
Kubo y las dos cuerdas mágicas,2016,Estados Unidos,"7,2",16.604,Travis Knight,"Charlize Theron, Art Parkinson, Ralph Fiennes, Rooney Mara, George Takei, Matthew McConaughey",https://www.filmaffinity.com/es/film296108.html
La isla mínima,2014,España,"7,2",71.962,Alberto Rodríguez,"Raúl Arévalo, Javier Gutiérrez, Nerea Barros, Antonio de la Torre, Jesús Castro, Mercedes León, Manolo Solo, Jesús Carroza",https://www.filmaffinity.com/es/film575568.html
Las vidas de Grace (Short Term 12),2013,Estados Unidos,"7,2",8.846,Destin Cretton,"Brie Larson, John Gallagher Jr., Kaitlyn Dever, Stephanie Beatriz, Rami Malek, Alex Calloway, Melora Walters, Lakeith Stanfield",https://www.filmaffinity.com/es/film395771.html
Mustang,2015,Francia,"7,2",12.922,Deniz Gamze Ergüven,"Günes Sensoy, Doga Zeynep Doguslu, Tugba Sunguroglu, Elit Iscan, Ilayda Akdogan, Nihal G. Koldas, Ayberk Pekcan",https://www.filmaffinity.com/es/film394374.html
Hasta el último hombre,2016,Estados Unidos,"7,2",32.610,Mel Gibson,"Andrew Garfield, Sam Worthington, Hugo Weaving, Vince Vaughn, Teresa Palmer, Luke Bracey, Rachel Griffiths, Richard Roxburgh",https://www.filmaffinity.com/es/film550924.html
Leviatán,2014,Rusia,"7,2",7.143,Andrey Zvyagintsev,"Aleksey Serebryakov, Vladimir Vdovichenkov, Elena Lyadova, Anna Ukolova, Roman Madyanov, Lesya Kudryashova, Aleksey Rozin, Sergey Pokhodaev",https://www.filmaffinity.com/es/film900794.html
Los miserables,2019,Francia,"7,2",10.217,Ladj Ly,"Damien Bonnard, Alexis Manenti, Djibril Zonga, Jeanne Balibar, Steve Tientcheu, Issa Perica, Al-Hassan Ly, Almamy Kanoute",https://www.filmaffinity.com/es/film984792.html
The Gentlemen: Los señores de la mafia,2019,Reino Unido,"7,2",25.111,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Hugh Grant, Colin Farrell, Eddie Marsan, Henry Golding, Michelle Dockery, Jeremy Strong",https://www.filmaffinity.com/es/film558045.html
Rush,2013,Reino Unido,"7,2",39.788,Ron Howard,"Chris Hemsworth, Daniel Brühl, Alexandra Maria Lara, Olivia Wilde, Pierfrancesco Favino, Natalie Dormer, Christian McKay, Stephen Mangan",https://www.filmaffinity.com/es/film374668.html
A Silent Voice,2016,Japón,"7,2",5.880,Naoko Yamada,,https://www.filmaffinity.com/es/film275064.html
Lazzaro feliz,2018,Italia,"7,2",6.965,Alice Rohrwacher,"Adriano Tardiolo, Alba Rohrwacher, Agnese Graziani, Luca Chikovani, Sergi López, Natalino Balasso, Tommaso Ragno, Nicoletta Braschi, Leonardo Nigro",https://www.filmaffinity.com/es/film820491.html
"Yo, Daniel Blake",2016,Reino Unido,"7,2",12.159,Ken Loach,"Dave Johns, Hayley Squires, Briana Shann, Dylan McKiernan, Kate Rutter, Sharon Percy, Kema Sikazwe, Steven Richens, Amanda Payne",https://www.filmaffinity.com/es/film245859.html
Sin novedad en el frente,2022,Alemania,"7,2",19.484,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus, Edin Hasanovic, Daniel Brühl, Sebastian Hülk, Adrian Grünewald",https://www.filmaffinity.com/es/film621534.html
Comanchería,2016,Estados Unidos,"7,2",30.871,David Mackenzie,"Jeff Bridges, Chris Pine, Ben Foster, Gil Birmingham, Katy Mixon, Dale Dickey, Kevin Rankin, Melanie Papalia",https://www.filmaffinity.com/es/film934874.html
Jojo Rabbit,2019,Nueva Zelanda,"7,2",34.210,Taika Waititi,"Roman Griffin Davis, Scarlett Johansson, Thomasin McKenzie, Taika Waititi, Sam Rockwell, Rebel Wilson, Alfie Allen, Stephen Merchant",https://www.filmaffinity.com/es/film760663.html
A Sun,2019,Taiwán,"7,1",1.273,Chung Mong-hong,"Chen Yi-Wen, Samantha Ko, Wu Chien-Ho, Greg Han Hsu, Liu Kuan-Ting, Ivy Yin, Jenny Wen, Chih-Ju Lin",https://www.filmaffinity.com/es/film804052.html
La vida invisible de Eurídice Gusmão,2019,Brasil,"7,1",1.294,Karim Aïnouz,"Carol Duarte, Júlia Stockler, Fernanda Montenegro, Gregório Duvivier, Cristina Pereira, Flavio Bauraqui, Maria Manoella, Nikolas Antunes",https://www.filmaffinity.com/es/film701802.html
El insulto,2017,Líbano,"7,1",5.068,Ziad Doueiri,"Adel Karam, Kamel El Basha, Christine Choueiri, Camille Salameh, Rita Hayek, Talal Jurdi, Diamand Bou Abboud, Rifaat Torbey",https://www.filmaffinity.com/es/film762191.html
La peor persona del mundo,2021,Noruega,"7,1",13.241,Joachim Trier,"Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum, Silje Storstein, Maria Grazia Di Meo, Hans Olav Brenner, Marianne Krogh, Vidar Sandem",https://www.filmaffinity.com/es/film818283.html
La ballena (The Whale),2022,Estados Unidos,"7,1",16.993,Darren Aronofsky,"Brendan Fraser, Sadie Sink, Hong Chau, Ty Simpkins, Samantha Morton, Sathya Sridharan, Jacey Sink",https://www.filmaffinity.com/es/film160764.html
El buen patrón,2021,España,"7,1",23.988,Fernando León de Aranoa,"Javier Bardem, Manolo Solo, Almudena Amor, Óscar de la Fuente, Sonia Almarcha, Fernando Albizu, Tarik Rmili, Rafa Castejón",https://www.filmaffinity.com/es/film925403.html
